clock,running_pid,ready_size,waiting_size,terminated_size
1,1,9,0,0
2,-1,9,1,0
3,2,8,1,0
4,-1,9,1,0
5,3,8,1,0
6,-1,9,1,0
7,4,8,1,0
8,-1,9,1,0
9,5,8,1,0
10,-1,9,1,0
11,6,8,1,0
12,-1,8,2,0
13,7,7,2,0
14,-1,8,2,0
15,8,7,2,0
16,-1,8,2,0
17,9,7,2,0
18,-1,8,2,0
19,10,7,2,0
20,-1,7,3,0
21,2,6,3,0
22,-1,6,4,0
23,-1,5,5,0
24,-1,4,6,0
25,5,3,6,0
26,-1,3,7,0
27,-1,2,8,0
28,8,1,8,0
29,-1,2,8,0
30,-1,1,9,0
31,8,0,9,0
32,8,0,9,0
33,8,0,9,0
34,-1,0,10,0
35,-1,0,10,0
36,-1,0,10,0
37,-1,0,10,0
38,-1,0,10,0
39,-1,0,10,0
40,-1,0,10,0
41,-1,0,10,0
42,-1,0,10,0
43,-1,0,10,0
44,8,0,9,0
45,8,0,9,0
46,8,0,9,0
47,8,0,9,0
48,8,0,9,0
49,8,0,9,0
50,8,0,9,0
51,8,0,9,0
52,8,0,9,0
53,8,0,9,0
54,8,0,9,0
55,8,0,9,0
56,8,0,9,0
57,8,0,9,0
58,8,0,9,0
59,8,0,9,0
60,8,0,9,0
61,8,0,9,0
62,8,0,9,0
63,8,0,9,0
64,8,0,9,0
65,8,0,9,0
66,8,0,9,0
67,8,0,9,0
68,8,0,9,0
69,8,0,9,0
70,8,0,9,0
71,8,0,9,0
72,8,0,9,0
73,8,0,9,0
74,8,0,9,0
75,8,0,9,0
76,-1,2,8,0
77,6,1,8,0
78,-1,2,8,0
79,8,1,8,0
80,-1,2,8,0
81,6,1,8,0
82,-1,2,8,0
83,8,1,8,0
84,-1,2,8,0
85,6,1,8,0
86,-1,2,8,0
87,8,1,8,0
88,-1,2,8,0
89,6,1,8,0
90,-1,2,8,0
91,8,1,8,0
92,-1,3,7,0
93,6,2,7,0
94,-1,3,7,0
95,9,2,7,0
96,-1,3,7,0
97,8,2,7,0
98,-1,3,7,0
99,6,2,7,0
100,-1,3,7,0
101,9,2,7,0
102,-1,3,7,0
103,8,2,7,0
104,-1,3,7,0
105,6,2,7,0
